RA,Nome,Fase,Turma,Ano_Nascimento,Idade,Gênero,Ano_Ingresso,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Pedra,Defas,Ponto_de_Virada,Matem,Portug,Inglês,Pedra_Calculada,Gap_IAA_IDA,Media_Academica,RISCO,Faixa_Etaria,Tempo_Programa
RA-511,Aluno-511,1,C,2012,10,Menina,2022,8.0,10.0,7.5,5.3,7.056,5.0,7.094,Ametista,-1,0,2.0,8.5,,Ametista,2.7,7.65,0,Criança (até 10),0
RA-512,Aluno-512,1,C,2012,10,Menina,2022,9.0,9.3,7.5,6.2,7.722,5.0,7.365,Ametista,-1,0,5.3,7.0,,Ametista,2.8,7.75,0,Criança (até 10),0
RA-513,Aluno-513,1,C,2013,9,Menino,2021,9.0,9.6,5.6,8.3,7.778,10.0,8.229,Topázio,0,0,8.2,8.5,,Ametista,0.6999999999999993,8.95,0,Criança (até 10),1
RA-514,Aluno-514,1,C,2013,9,Menina,2022,8.0,9.7,7.5,4.8,5.889,10.0,7.039,Ametista,0,0,2.0,7.5,,Ametista,3.2,7.25,1,Criança (até 10),0
RA-515,Aluno-515,1,C,2010,12,Menino,2022,8.0,6.3,7.5,5.8,7.556,5.0,6.582,Ágata,-2,0,8.5,3.2,,Ágata,2.2,6.05,0,Adolescente (11-14),0
RA-516,Aluno-516,1,C,2013,9,Menino,2019,10.0,9.7,7.5,9.9,8.056,10.0,8.903,Topázio,0,0,10.0,9.8,,Topázio,0.09999999999999964,9.8,0,Criança (até 10),3
RA-517,Aluno-517,1,D,2010,12,Menina,2017,6.9,9.5,7.5,7.7,7.833,5.0,7.604,Ametista,-2,0,7.8,7.5,,Ametista,-0.7999999999999998,8.6,0,Adolescente (11-14),5
RA-518,Aluno-518,1,D,2012,10,Menino,2022,9.0,9.4,7.5,7.5,7.5,5.0,7.661,Ametista,-1,0,6.0,9.0,,Ametista,1.5,8.45,0,Criança (até 10),0
RA-519,Aluno-519,1,D,2013,9,Menino,2022,7.4,9.6,7.5,7.5,7.333,10.0,8.0,Ametista,0,0,7.0,8.0,,Ametista,-0.09999999999999964,8.55,0,Criança (até 10),0
RA-520,Aluno-520,1,D,2011,11,Menina,2022,10.0,6.8,7.5,6.8,7.278,5.0,7.035,Ametista,-1,0,5.0,8.5,,Ametista,3.2,6.8,0,Adolescente (11-14),0
RA-521,Aluno-521,1,D,2013,9,Menino,2022,9.0,10.0,5.0,6.0,7.5,10.0,7.725,Ametista,0,0,5.0,7.0,,Ametista,3.0,8.0,0,Criança (até 10),0
RA-522,Aluno-522,1,D,2013,9,Menino,2021,9.5,9.1,7.5,7.5,8.167,10.0,8.306,Topázio,0,0,7.0,8.0,,Topázio,2.0,8.3,0,Criança (até 10),1
RA-523,Aluno-523,1,D,2011,11,Menina,2022,10.0,9.5,7.5,6.5,7.556,5.0,7.591,Ametista,-1,0,5.0,8.0,,Ametista,3.5,8.0,0,Adolescente (11-14),0
RA-524,Aluno-524,1,D,2011,11,Menino,2019,0.0,9.4,5.0,9.1,8.056,5.0,6.947,Ágata,-1,0,9.0,9.2,,Ametista,-9.1,9.25,0,Adolescente (11-14),3
RA-525,Aluno-525,1,D,2011,11,Menina,2021,9.0,9.3,7.5,8.6,8.167,5.0,8.013,Ametista,-1,0,8.3,8.8,,Ametista,0.40000000000000036,8.95,0,Adolescente (11-14),1
RA-526,Aluno-526,1,D,2010,12,Menino,2022,10.0,9.9,7.5,8.0,8.167,5.0,8.079,Topázio,-2,0,7.7,8.3,,Ametista,2.0,8.95,0,Adolescente (11-14),0
RA-527,Aluno-527,1,D,2013,9,Menina,2022,8.5,10.0,7.5,6.5,7.5,10.0,8.025,Ametista,0,0,5.0,8.0,,Ametista,2.0,8.25,0,Criança (até 10),0
RA-528,Aluno-528,1,D,2011,11,Menino,2021,0.0,6.2,7.5,4.0,6.944,5.0,5.335,Quartzo,-1,0,5.3,2.7,,Quartzo,-4.0,5.1,1,Adolescente (11-14),1
RA-529,Aluno-529,1,D,2010,12,Menino,2020,8.5,8.9,5.0,5.2,6.556,5.0,6.51,Ágata,-2,0,3.3,7.0,,Ágata,3.3,7.050000000000001,0,Adolescente (11-14),2
RA-530,Aluno-530,1,E,2012,10,Menino,2019,10.0,9.0,7.5,8.9,9.056,5.0,8.338,Topázio,-1,1,9.0,8.8,,Topázio,1.0999999999999996,8.95,0,Criança (até 10),3
RA-531,Aluno-531,1,E,2012,10,Menino,2022,9.5,9.8,7.5,7.8,8.167,5.0,8.057,Ametista,-1,0,8.7,7.0,,Ametista,1.7000000000000002,8.8,0,Criança (até 10),0
RA-532,Aluno-532,1,E,2013,9,Menina,2022,9.5,9.7,7.5,5.5,7.167,10.0,7.792,Ametista,0,0,4.0,7.0,,Ametista,4.0,7.6,0,Criança (até 10),0
RA-533,Aluno-533,1,E,2012,10,Menino,2022,8.5,8.8,5.6,6.0,7.333,5.0,6.962,Ágata,-1,0,5.0,7.0,,Ametista,2.5,7.4,0,Criança (até 10),0
RA-534,Aluno-534,1,E,2010,12,Menina,2021,9.0,7.4,7.5,7.1,7.333,5.0,7.131,Ametista,-2,0,6.5,7.7,,Ametista,1.9000000000000004,7.25,0,Adolescente (11-14),1
RA-535,Aluno-535,1,F,2012,10,Menina,2019,9.0,9.2,7.5,5.1,6.917,5.0,6.953,Ágata,-1,0,4.7,5.5,,Ametista,3.9000000000000004,7.1499999999999995,0,Criança (até 10),3
RA-536,Aluno-536,1,F,2012,10,Menina,2020,9.5,8.9,5.6,6.0,7.75,5.0,7.106,Ametista,-1,0,6.3,5.7,,Ametista,3.5,7.45,0,Criança (até 10),2
RA-537,Aluno-537,1,F,2012,10,Menino,2022,9.5,9.0,4.4,4.8,7.167,5.0,6.641,Ágata,-1,0,2.5,7.0,,Ágata,4.7,6.9,1,Criança (até 10),0
RA-538,Aluno-538,1,F,2009,13,Menino,2022,8.5,7.5,5.6,6.8,5.583,5.0,6.309,Ágata,-2,0,4.5,9.0,,Ágata,1.7000000000000002,7.15,0,Adolescente (11-14),0
RA-539,Aluno-539,1,F,2011,11,Menina,2022,8.5,9.3,6.9,7.5,8.417,5.0,7.665,Ametista,-1,1,6.8,8.2,,Ametista,1.0,8.4,0,Adolescente (11-14),0
RA-540,Aluno-540,1,F,2012,10,Menina,2019,8.5,9.5,5.6,7.0,7.5,5.0,7.303,Ametista,-1,0,6.8,7.2,,Ametista,1.5,8.25,0,Criança (até 10),3
RA-541,Aluno-541,1,F,2008,14,Menino,2022,10.0,7.8,6.9,2.5,5.0,2.5,5.427,Quartzo,-3,0,0.0,5.0,,Quartzo,7.5,5.15,1,Adolescente (11-14),0
RA-542,Aluno-542,1,F,2011,11,Menina,2019,8.0,9.8,6.3,6.5,7.417,5.0,7.221,Ametista,-1,0,5.3,7.7,,Ametista,1.5,8.15,0,Adolescente (11-14),3
RA-543,Aluno-543,1,F,2012,10,Menina,2022,8.5,9.8,4.4,6.5,7.167,5.0,7.05,Ametista,-1,0,5.0,8.0,,Ametista,2.0,8.15,0,Criança (até 10),0
RA-544,Aluno-544,1,F,2012,10,Menino,2022,9.5,9.7,5.6,3.3,6.0,5.0,6.307,Ágata,-1,0,1.0,5.5,,Ágata,6.2,6.5,1,Criança (até 10),0
RA-545,Aluno-545,1,G,2009,13,Menino,2018,9.5,6.6,7.5,5.5,7.5,5.0,6.723,Ágata,-2,0,4.3,6.7,,Ágata,4.0,6.05,0,Adolescente (11-14),4
RA-546,Aluno-546,1,G,2011,11,Menina,2021,9.0,7.9,5.0,5.6,7.917,5.0,6.77,Ágata,-1,0,3.3,7.8,,Ágata,3.4000000000000004,6.75,0,Adolescente (11-14),1
RA-547,Aluno-547,1,G,2011,11,Menina,2019,9.5,9.7,5.0,7.6,8.833,5.0,7.745,Ametista,-1,1,7.3,7.8,,Ametista,1.9000000000000004,8.649999999999999,0,Adolescente (11-14),3
RA-548,Aluno-548,1,G,2010,12,Menino,2019,8.0,9.1,6.9,7.2,7.583,5.0,7.292,Ametista,-2,0,5.7,8.7,,Ametista,0.7999999999999998,8.15,0,Adolescente (11-14),3
RA-549,Aluno-549,1,G,2012,10,Menino,2021,10.0,7.9,6.9,4.2,6.167,5.0,6.301,Ágata,-1,0,2.2,6.2,,Ágata,5.8,6.050000000000001,1,Criança (até 10),1
RA-550,Aluno-550,1,G,2010,12,Menina,2022,9.0,9.0,6.9,1.9,6.25,5.0,6.026,Ágata,-2,0,2.0,1.8,,Ágata,7.1,5.45,1,Adolescente (11-14),0
RA-551,Aluno-551,1,G,2010,12,Menina,2018,8.5,7.3,6.9,6.6,7.333,5.0,6.853,Ágata,-2,0,5.0,8.2,,Ágata,1.9000000000000004,6.949999999999999,0,Adolescente (11-14),4
RA-552,Aluno-552,1,G,2011,11,Menino,2022,9.5,8.8,5.0,5.5,7.167,5.0,6.625,Ágata,-1,0,6.0,5.0,,Ágata,4.0,7.15,0,Adolescente (11-14),0
RA-553,Aluno-553,1,G,2011,11,Menina,2019,9.5,6.9,6.9,3.3,8.167,5.0,6.39,Ágata,-1,0,1.0,5.7,,Ágata,6.2,5.1,1,Adolescente (11-14),3
RA-554,Aluno-554,1,G,2010,12,Menino,2017,7.9,6.0,6.9,4.0,5.75,5.0,5.588,Quartzo,-2,0,1.7,6.3,,Ágata,3.9000000000000004,5.0,1,Adolescente (11-14),5
RA-555,Aluno-555,1,G,2010,12,Menino,2019,9.5,8.1,5.0,4.4,5.167,5.0,5.949,Quartzo,-2,0,1.8,7.0,,Ágata,5.1,6.25,1,Adolescente (11-14),3
RA-556,Aluno-556,1,G,2011,11,Menina,2018,9.0,8.8,5.0,6.4,8.25,5.0,7.181,Ametista,-1,0,4.8,8.0,,Ametista,2.5999999999999996,7.6000000000000005,0,Adolescente (11-14),4
RA-557,Aluno-557,1,H,2012,10,Menino,2019,10.0,8.4,7.5,9.4,9.333,5.0,8.334,Topázio,-1,1,10.0,8.8,,Topázio,0.5999999999999996,8.9,0,Criança (até 10),3
RA-558,Aluno-558,1,H,2008,14,Menino,2022,9.0,8.5,5.0,4.3,4.5,2.5,5.539,Quartzo,-3,0,0.5,8.0,,Ágata,4.7,6.4,1,Adolescente (11-14),0
RA-559,Aluno-559,1,H,2011,11,Menino,2021,9.5,9.2,7.5,7.1,8.083,5.0,7.634,Ametista,-1,0,7.2,7.0,,Ametista,2.4000000000000004,8.149999999999999,0,Adolescente (11-14),1
RA-560,Aluno-560,1,H,2011,11,Menino,2020,6.9,7.2,5.0,3.8,3.75,5.0,4.949,Quartzo,-1,0,3.2,4.3,,Quartzo,3.1000000000000005,5.5,1,Adolescente (11-14),2
RA-561,Aluno-561,1,H,2011,11,Menino,2022,9.0,9.0,7.5,7.4,8.833,5.0,7.856,Ametista,-1,1,9.5,5.3,,Ametista,1.5999999999999996,8.2,0,Adolescente (11-14),0
RA-562,Aluno-562,1,H,2011,11,Menina,2021,8.0,9.0,7.5,8.0,8.75,5.0,7.855,Ametista,-1,1,8.3,7.7,,Ametista,0.0,8.5,0,Adolescente (11-14),1
RA-563,Aluno-563,1,H,2011,11,Menina,2020,10.0,9.2,7.5,8.5,8.833,5.0,8.22,Topázio,-1,1,9.0,8.0,,Ametista,1.5,8.85,0,Adolescente (11-14),2
