RA,Nome,Fase,Turma,Ano_Nascimento,Idade,Gênero,Ano_Ingresso,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Pedra,Defas,Ponto_de_Virada,Matem,Portug,Inglês,Pedra_Calculada,Gap_IAA_IDA,Media_Academica,RISCO,Faixa_Etaria,Tempo_Programa
RA-609,Aluno-609,1,L,2011,11,Menino,2019,8.5,7.6,7.5,6.0,7.056,5.0,6.794,Ágata,-1,0,6.5,5.5,,Ágata,2.5,6.8,0,Adolescente (11-14),3
RA-610,Aluno-610,1,L,2013,9,Menina,2022,9.0,9.6,7.5,6.5,8.5,10.0,8.18,Topázio,0,1,6.0,7.0,,Ametista,2.5,8.05,0,Criança (até 10),0
RA-611,Aluno-611,1,M,2010,12,Menino,2021,9.5,7.6,7.5,9.5,7.556,5.0,7.756,Ametista,-2,0,10.0,9.0,,Ametista,0.0,8.55,0,Adolescente (11-14),1
RA-612,Aluno-612,1,M,2012,10,Menina,2021,9.0,9.2,7.5,7.9,7.167,5.0,7.594,Ametista,-1,0,9.7,6.2,,Ametista,1.0999999999999996,8.55,0,Criança (até 10),1
RA-613,Aluno-613,1,M,2009,13,Menino,2020,9.0,9.2,7.5,9.2,8.556,5.0,8.121,Topázio,-2,1,9.2,9.2,,Ametista,-0.1999999999999993,9.2,0,Adolescente (11-14),2
RA-614,Aluno-614,1,M,2010,12,Menino,2021,9.5,9.7,7.5,9.6,8.278,5.0,8.339,Topázio,-2,0,9.8,9.3,,Topázio,-0.09999999999999964,9.649999999999999,0,Adolescente (11-14),1
RA-615,Aluno-615,1,M,2013,9,Menina,2020,9.5,9.7,7.5,7.3,6.889,10.0,8.086,Topázio,0,0,7.8,6.7,,Ametista,2.2,8.5,0,Criança (até 10),2
RA-616,Aluno-616,1,M,2010,12,Menino,2019,7.4,7.4,7.5,8.8,7.278,5.0,7.303,Ametista,-2,0,9.2,8.5,,Ametista,-1.4000000000000004,8.100000000000001,0,Adolescente (11-14),3
RA-617,Aluno-617,1,M,2011,11,Menina,2021,8.5,8.9,7.5,6.3,6.778,5.0,7.107,Ametista,-1,0,4.5,8.0,,Ametista,2.2,7.6,0,Adolescente (11-14),1
RA-618,Aluno-618,1,M,2009,13,Menino,2020,8.9,8.3,7.5,6.7,7.333,5.0,7.18,Ametista,-2,0,6.8,6.5,,Ametista,2.2,7.5,0,Adolescente (11-14),2
RA-619,Aluno-619,1,M,2011,11,Menina,2021,9.5,8.0,7.5,9.0,7.333,5.0,7.693,Ametista,-1,0,9.2,8.8,,Ametista,0.5,8.5,0,Adolescente (11-14),1
RA-620,Aluno-620,1,M,2010,12,Menino,2021,0.0,7.5,7.5,6.8,6.833,5.0,6.018,Ágata,-2,0,8.5,5.0,,Ágata,-6.8,7.15,0,Adolescente (11-14),1
RA-621,Aluno-621,1,M,2012,10,Menino,2020,9.5,7.7,7.5,7.5,8.222,5.0,7.448,Ametista,-1,0,6.8,8.2,,Ametista,2.0,7.6,0,Criança (até 10),2
RA-622,Aluno-622,1,N,2010,12,Menina,2019,3.5,3.8,7.5,3.8,6.0,5.0,4.934,Quartzo,-2,0,4.8,2.7,,Quartzo,-0.2999999999999998,3.8,1,Adolescente (11-14),3
RA-623,Aluno-623,1,N,2009,13,Menino,2022,7.5,9.0,7.5,8.3,7.389,5.0,7.524,Ametista,-2,0,9.3,7.2,,Ametista,-0.8000000000000007,8.65,0,Adolescente (11-14),0
RA-624,Aluno-624,1,N,2012,10,Menino,2022,9.0,8.9,7.5,6.8,7.722,5.0,7.425,Ametista,-1,0,8.0,5.5,,Ametista,2.2,7.85,0,Criança (até 10),0
RA-625,Aluno-625,1,N,2011,11,Menino,2022,8.0,9.2,7.5,7.8,7.333,5.0,7.483,Ametista,-1,0,8.5,7.0,,Ametista,0.20000000000000018,8.5,0,Adolescente (11-14),0
RA-626,Aluno-626,1,N,2011,11,Menino,2021,7.4,7.6,7.5,1.3,7.278,5.0,5.818,Quartzo,-1,0,2.5,0.0,,Ágata,6.1000000000000005,4.45,1,Adolescente (11-14),1
RA-627,Aluno-627,1,N,2012,10,Menina,2022,7.0,6.7,7.5,6.5,7.0,5.0,6.621,Ágata,-1,0,6.2,6.8,,Ágata,0.5,6.6,0,Criança (até 10),0
RA-628,Aluno-628,1,N,2011,11,Menino,2022,9.5,7.6,7.5,9.2,7.333,5.0,7.577,Ametista,-1,0,9.3,9.0,,Ametista,0.3000000000000007,8.399999999999999,0,Adolescente (11-14),0
RA-629,Aluno-629,1,N,2013,9,Menino,2022,9.0,10.0,7.5,7.0,7.278,10.0,8.11,Topázio,0,0,5.0,9.0,,Ametista,2.0,8.5,0,Criança (até 10),0
RA-630,Aluno-630,1,N,2013,9,Menino,2022,9.5,9.2,7.5,7.3,7.278,10.0,8.064,Topázio,0,0,6.5,8.0,,Ametista,2.2,8.25,0,Criança (até 10),0
RA-631,Aluno-631,1,N,2010,12,Menino,2022,8.5,6.8,7.5,7.0,7.222,5.0,6.928,Ágata,-2,0,7.3,6.7,,Ametista,1.5,6.9,0,Adolescente (11-14),0
RA-632,Aluno-632,1,P,2012,10,Menina,2022,8.5,9.3,6.9,6.3,6.722,5.0,6.996,Ágata,-1,0,5.5,7.2,,Ametista,2.2,7.800000000000001,0,Criança (até 10),0
RA-633,Aluno-633,1,P,2011,11,Menina,2020,7.3,8.9,7.5,7.7,7.833,5.0,7.476,Ametista,-1,0,6.8,8.5,,Ametista,-0.40000000000000036,8.3,0,Adolescente (11-14),2
RA-634,Aluno-634,1,P,2011,11,Menina,2022,9.5,9.4,7.5,6.5,8.222,5.0,7.619,Ametista,-1,0,8.0,5.0,,Ametista,3.0,7.95,0,Adolescente (11-14),0
RA-635,Aluno-635,1,P,2012,10,Menino,2022,10.0,4.9,6.9,1.5,6.444,5.0,5.313,Quartzo,-1,0,0.5,2.5,,Quartzo,8.5,3.2,1,Criança (até 10),0
RA-636,Aluno-636,1,P,2012,10,Menino,2022,8.5,8.0,6.9,7.3,7.389,5.0,7.189,Ametista,-1,0,7.3,7.3,,Ametista,1.2000000000000002,7.65,0,Criança (até 10),0
RA-637,Aluno-637,1,P,2012,10,Menina,2021,8.5,9.0,7.5,5.8,7.0,5.0,7.039,Ametista,-1,0,4.8,6.8,,Ametista,2.7,7.4,0,Criança (até 10),1
RA-638,Aluno-638,1,P,2013,9,Menina,2020,8.5,9.3,7.5,3.9,6.278,10.0,7.059,Ametista,0,0,2.0,5.8,,Ametista,4.6,6.6000000000000005,1,Criança (até 10),2
RA-639,Aluno-639,1,P,2012,10,Menina,2021,8.5,7.4,7.5,5.5,6.611,5.0,6.613,Ágata,-1,0,3.2,7.8,,Ágata,3.0,6.45,0,Criança (até 10),1
RA-640,Aluno-640,1,P,2011,11,Menina,2022,9.0,8.4,7.5,4.8,6.778,5.0,6.73,Ágata,-1,0,2.5,7.0,,Ágata,4.2,6.6,1,Adolescente (11-14),0
RA-641,Aluno-641,1,P,2013,9,Menina,2022,9.0,9.3,7.5,6.5,6.778,10.0,7.776,Ametista,0,0,4.5,8.5,,Ametista,2.5,7.9,0,Criança (até 10),0
RA-642,Aluno-642,1,P,2012,10,Menina,2021,10.0,9.7,6.9,7.3,7.778,5.0,7.75,Ametista,-1,0,7.0,7.7,,Ametista,2.7,8.5,0,Criança (até 10),1
RA-643,Aluno-643,1,P,2012,10,Menino,2022,9.0,8.0,7.5,6.2,6.722,5.0,6.763,Ágata,-1,0,6.3,6.0,,Ágata,2.8,7.1,0,Criança (até 10),0
RA-644,Aluno-644,1,P,2011,11,Menina,2021,9.5,8.0,7.5,8.8,8.278,5.0,7.83,Ametista,-1,0,9.7,8.0,,Ametista,0.6999999999999993,8.4,0,Adolescente (11-14),1
RA-645,Aluno-645,1,P,2012,10,Menina,2022,8.5,8.1,7.5,2.0,6.833,5.0,6.086,Ágata,-1,0,4.0,0.0,,Ágata,6.5,5.05,1,Criança (até 10),0
RA-646,Aluno-646,1,R,2009,13,Menino,2019,8.5,9.8,8.1,8.4,8.389,5.0,8.181,Topázio,-2,1,8.8,8.0,,Ametista,0.09999999999999964,9.100000000000001,0,Adolescente (11-14),3
RA-647,Aluno-647,1,R,2012,10,Menino,2022,9.5,8.6,7.5,3.3,7.278,5.0,6.606,Ágata,-1,0,1.5,5.2,,Ágata,6.2,5.949999999999999,1,Criança (até 10),0
RA-648,Aluno-648,1,R,2010,12,Menino,2019,9.0,7.5,6.9,5.3,7.5,5.0,6.736,Ágata,-2,0,5.0,5.5,,Ágata,3.7,6.4,0,Adolescente (11-14),3
RA-649,Aluno-649,1,R,2010,12,Menina,2019,8.5,8.9,5.6,7.4,7.611,5.0,7.302,Ametista,-2,0,6.3,8.5,,Ametista,1.0999999999999996,8.15,0,Adolescente (11-14),3
RA-650,Aluno-650,1,R,2011,11,Menina,2021,6.9,8.7,5.6,6.9,7.5,5.0,7.004,Ágata,-1,0,5.5,8.3,,Ametista,0.0,7.8,0,Adolescente (11-14),1
RA-651,Aluno-651,1,R,2012,10,Menina,2022,8.5,9.3,7.5,7.8,8.333,5.0,7.866,Ametista,-1,0,7.7,7.8,,Ametista,0.7000000000000002,8.55,0,Criança (até 10),0
RA-652,Aluno-652,1,R,2013,9,Menina,2022,8.0,9.6,7.5,7.8,7.5,10.0,8.151,Topázio,0,0,7.0,8.5,,Ametista,0.20000000000000018,8.7,0,Criança (até 10),0
RA-653,Aluno-653,1,R,2011,11,Menina,2022,9.5,9.6,7.5,9.3,7.5,5.0,8.101,Topázio,-1,0,9.5,9.0,,Ametista,0.1999999999999993,9.45,0,Adolescente (11-14),0
RA-654,Aluno-654,1,R,2010,12,Menina,2022,8.5,8.6,7.5,6.8,7.556,5.0,7.308,Ametista,-2,0,5.5,8.0,,Ametista,1.7000000000000002,7.699999999999999,0,Adolescente (11-14),0
RA-655,Aluno-655,1,R,2010,12,Menina,2019,7.5,9.2,7.5,8.3,8.389,5.0,7.785,Ametista,-2,1,8.3,8.2,,Ametista,-0.8000000000000007,8.75,0,Adolescente (11-14),3
RA-656,Aluno-656,1,R,2011,11,Menina,2020,7.4,7.5,5.6,6.3,7.5,5.0,6.652,Ágata,-1,0,5.0,7.5,,Ágata,1.1000000000000005,6.9,0,Adolescente (11-14),2
RA-657,Aluno-657,1,R,2010,12,Menina,2021,9.5,9.8,7.5,9.0,7.5,5.0,8.093,Topázio,-2,0,9.0,9.0,,Ametista,0.5,9.4,0,Adolescente (11-14),1
RA-658,Aluno-658,1,U,2012,10,Menina,2022,10.0,9.3,7.5,5.6,7.917,5.0,7.407,Ametista,-1,0,4.7,6.5,,Ametista,4.4,7.45,0,Criança (até 10),0
RA-659,Aluno-659,1,U,2012,10,Menina,2022,8.0,7.8,7.5,9.3,8.333,5.0,7.783,Ametista,-1,0,9.5,9.0,,Ametista,-1.3000000000000007,8.55,0,Criança (até 10),0
RA-660,Aluno-660,1,U,2013,9,Menina,2021,9.5,9.0,7.5,6.9,9.083,10.0,8.363,Topázio,0,1,5.8,8.0,,Topázio,2.5999999999999996,7.95,0,Criança (até 10),1
RA-661,Aluno-661,1,U,2011,11,Menino,2022,9.0,8.3,7.5,7.8,7.917,5.0,7.593,Ametista,-1,0,8.3,7.3,,Ametista,1.2000000000000002,8.05,0,Adolescente (11-14),0
RA-662,Aluno-662,1,U,2011,11,Menina,2022,9.0,8.8,7.5,6.8,6.083,5.0,7.044,Ametista,-1,0,5.7,7.8,,Ametista,2.2,7.800000000000001,0,Adolescente (11-14),0
RA-663,Aluno-663,1,U,2012,10,Menino,2022,6.9,8.7,7.5,5.8,5.25,5.0,6.376,Ágata,-1,0,5.0,6.5,,Ágata,1.1000000000000005,7.25,0,Criança (até 10),0
RA-664,Aluno-664,1,U,2012,10,Menina,2022,9.5,8.8,7.5,6.3,7.167,5.0,7.277,Ametista,-1,0,5.0,7.5,,Ametista,3.2,7.550000000000001,0,Criança (até 10),0
RA-665,Aluno-665,1,U,2011,11,Menina,2022,9.0,7.4,7.5,6.8,7.25,5.0,6.996,Ágata,-1,0,6.5,7.0,,Ametista,2.2,7.1,0,Adolescente (11-14),0
RA-666,Aluno-666,1,U,2012,10,Menino,2022,9.5,9.1,7.5,7.8,8.833,5.0,7.929,Ametista,-1,1,8.0,7.5,,Ametista,1.7000000000000002,8.45,0,Criança (até 10),0
RA-667,Aluno-667,1,U,2011,11,Menino,2021,8.5,5.6,7.5,4.5,5.833,5.0,5.844,Quartzo,-1,0,3.7,5.3,,Ágata,4.0,5.05,1,Adolescente (11-14),1
RA-668,Aluno-668,1,U,2011,11,Menino,2022,6.9,3.3,7.5,2.8,3.75,5.0,4.365,Quartzo,-1,0,2.8,2.8,,Quartzo,4.1000000000000005,3.05,1,Adolescente (11-14),0
RA-669,Aluno-669,1,U,2011,11,Menino,2022,9.0,9.7,7.5,6.0,7.833,5.0,7.475,Ametista,-1,0,5.0,7.0,,Ametista,3.0,7.85,0,Adolescente (11-14),0
RA-670,Aluno-670,1,U,2012,10,Menina,2022,8.0,8.8,7.5,6.9,8.167,5.0,7.451,Ametista,-1,0,6.5,7.3,,Ametista,1.0999999999999996,7.8500000000000005,0,Criança (até 10),0
RA-671,Aluno-671,0,A,2013,9,Menino,2021,8.5,8.2,8.1,8.8,7.417,5.0,7.617,Ametista,-1,0,8.8,8.8,,Ametista,-0.3000000000000007,8.5,0,Criança (até 10),1
RA-672,Aluno-672,0,A,2013,9,Menina,2021,8.5,8.5,8.1,8.8,6.75,5.0,7.48,Ametista,-1,0,8.5,9.1,,Ametista,-0.3000000000000007,8.65,0,Criança (até 10),1
RA-673,Aluno-673,0,A,2014,8,Menina,2022,8.5,9.2,8.1,9.2,8.583,10.0,8.65,Topázio,0,1,9.4,8.9,,Topázio,-0.6999999999999993,9.2,0,Criança (até 10),0
RA-674,Aluno-674,0,A,2014,8,Menino,2022,9.5,8.7,8.1,8.0,6.333,10.0,7.862,Ametista,0,0,8.9,7.0,,Ametista,1.5,8.35,0,Criança (até 10),0
RA-675,Aluno-675,0,A,2014,8,Menino,2022,10.0,6.6,8.1,7.4,7.083,10.0,7.576,Ametista,0,0,8.8,5.9,,Ametista,2.5999999999999996,7.0,0,Criança (até 10),0
RA-676,Aluno-676,0,A,2013,9,Menino,2021,8.5,8.6,8.1,9.3,8.167,5.0,7.911,Ametista,-1,0,9.5,9.1,,Ametista,-0.8000000000000007,8.95,0,Criança (até 10),1
RA-677,Aluno-677,0,B,2014,8,Menina,2021,10.0,9.4,7.5,7.3,8.583,10.0,8.358,Topázio,0,1,7.7,6.8,,Topázio,2.7,8.35,0,Criança (até 10),1
RA-678,Aluno-678,0,B,2013,9,Menino,2022,9.0,10.0,6.9,7.3,9.5,5.0,8.0,Ametista,-1,1,7.5,7.0,,Ametista,1.7000000000000002,8.65,0,Criança (até 10),0
RA-679,Aluno-679,0,B,2012,10,Menino,2020,9.0,8.2,7.5,6.3,7.833,5.0,7.172,Ametista,-2,0,6.7,5.8,,Ametista,2.7,7.25,0,Criança (até 10),2
RA-680,Aluno-680,0,B,2012,10,Menina,2019,9.5,8.8,7.5,7.4,7.75,5.0,7.518,Ametista,-2,0,8.0,6.8,,Ametista,2.0999999999999996,8.100000000000001,0,Criança (até 10),3
RA-681,Aluno-681,0,B,2012,10,Menino,2022,8.5,8.5,6.9,6.5,8.0,5.0,7.204,Ametista,-2,0,6.5,6.5,,Ametista,2.0,7.5,0,Criança (até 10),0
RA-682,Aluno-682,0,B,2011,11,Menino,2022,9.5,9.1,7.5,7.0,8.083,5.0,7.625,Ametista,-2,0,7.0,7.0,,Ametista,2.5,8.05,0,Adolescente (11-14),0
RA-683,Aluno-683,0,C,2012,10,Menino,2022,7.9,5.0,7.5,4.0,8.083,5.0,6.011,Ágata,-2,0,8.0,0.0,,Ágata,3.9000000000000004,4.5,1,Criança (até 10),0
RA-684,Aluno-684,0,C,2015,7,Menino,2022,9.5,7.5,8.1,9.3,7.917,10.0,8.26,Topázio,0,0,9.0,9.6,,Topázio,0.1999999999999993,8.4,0,Criança (até 10),0
RA-685,Aluno-685,0,C,2013,9,Menino,2022,9.0,6.2,5.0,8.0,7.833,5.0,6.864,Ágata,-1,0,8.0,8.0,,Ágata,1.0,7.1,0,Criança (até 10),0
RA-686,Aluno-686,0,D,2013,9,Menina,2022,7.5,8.6,8.1,8.8,8.083,5.0,7.729,Ametista,-1,0,9.2,8.5,,Ametista,-1.3000000000000007,8.7,0,Criança (até 10),0
RA-687,Aluno-687,0,D,2013,9,Menino,2022,8.5,9.0,8.1,8.3,8.0,5.0,7.703,Ametista,-1,0,9.0,7.5,,Ametista,0.1999999999999993,8.65,0,Criança (até 10),0
RA-688,Aluno-688,0,D,2013,9,Menino,2022,8.5,9.7,7.5,7.9,7.917,5.0,7.771,Ametista,-1,0,8.0,7.8,,Ametista,0.5999999999999996,8.8,0,Criança (até 10),0
RA-689,Aluno-689,0,D,2013,9,Menina,2022,7.4,7.9,5.6,5.8,6.667,5.0,6.433,Ágata,-1,0,6.0,5.5,,Ágata,1.6000000000000005,6.85,0,Criança (até 10),0
RA-690,Aluno-690,0,D,2013,9,Menina,2022,9.5,9.5,7.5,7.0,7.417,5.0,7.541,Ametista,-1,0,7.2,6.8,,Ametista,2.5,8.25,0,Criança (até 10),0
RA-691,Aluno-691,0,D,2014,8,Menina,2022,10.0,9.2,8.1,9.4,7.917,10.0,8.68,Topázio,0,0,9.6,9.3,,Topázio,0.5999999999999996,9.3,0,Criança (até 10),0
RA-692,Aluno-692,0,D,2013,9,Menina,2021,9.5,8.9,8.1,6.9,7.917,5.0,7.569,Ametista,-1,0,7.0,6.8,,Ametista,2.5999999999999996,7.9,0,Criança (até 10),1
RA-693,Aluno-693,0,D,2015,7,Menina,2022,9.5,9.8,8.1,5.7,7.667,10.0,7.944,Ametista,0,0,5.0,6.3,,Ametista,3.8,7.75,0,Criança (até 10),0
RA-694,Aluno-694,0,D,2014,8,Menino,2022,10.0,9.0,8.1,8.1,7.917,10.0,8.378,Topázio,0,0,8.2,8.0,,Topázio,1.9000000000000004,8.55,0,Criança (até 10),0
RA-695,Aluno-695,0,E,2014,8,Menina,2021,9.0,3.1,7.5,2.5,2.5,10.0,4.28,Quartzo,0,0,2.2,2.8,,Quartzo,6.5,2.8,1,Criança (até 10),1
RA-696,Aluno-696,0,E,2013,9,Menina,2021,8.5,9.0,7.5,6.6,8.167,5.0,7.441,Ametista,-1,0,6.5,6.7,,Ametista,1.9000000000000004,7.8,0,Criança (até 10),1
RA-697,Aluno-697,0,E,2011,11,Menino,2021,7.0,9.3,7.5,8.4,8.083,5.0,7.675,Ametista,-2,0,8.8,8.0,,Ametista,-1.4000000000000004,8.850000000000001,0,Adolescente (11-14),1
RA-698,Aluno-698,0,E,2013,9,Menino,2021,9.0,9.8,2.5,8.1,8.083,5.0,7.44,Ametista,-1,0,8.0,8.2,,Ametista,0.9000000000000004,8.95,0,Criança (até 10),1
RA-699,Aluno-699,0,E,2013,9,Menino,2022,5.2,9.2,7.5,7.1,6.0,5.0,6.658,Ágata,-1,0,7.5,6.7,,Ágata,-1.8999999999999995,8.149999999999999,0,Criança (até 10),0
RA-700,Aluno-700,0,F,2013,9,Menina,2022,9.0,8.7,7.5,9.2,7.083,5.0,7.738,Ametista,-1,0,9.2,9.2,,Ametista,-0.1999999999999993,8.95,0,Criança (até 10),0
RA-701,Aluno-701,0,F,2012,10,Menino,2021,9.0,9.3,7.5,8.7,7.417,5.0,7.755,Ametista,-2,0,8.7,8.7,,Ametista,0.3000000000000007,9.0,0,Criança (até 10),1
RA-702,Aluno-702,0,F,2014,8,Menina,2022,10.0,8.6,5.0,6.8,7.0,10.0,7.387,Ametista,0,0,7.0,6.7,,Ametista,3.2,7.699999999999999,0,Criança (até 10),0
RA-703,Aluno-703,0,F,2012,10,Menino,2021,7.5,7.4,5.0,5.1,6.833,5.0,6.099,Ágata,-2,0,5.3,4.8,,Ágata,2.4000000000000004,6.25,0,Criança (até 10),1
RA-704,Aluno-704,0,F,2012,10,Menino,2022,9.0,8.6,5.0,7.2,6.583,5.0,6.741,Ágata,-2,0,7.7,6.6,,Ágata,1.7999999999999998,7.9,0,Criança (até 10),0
RA-705,Aluno-705,0,F,2012,10,Menino,2022,9.5,6.2,7.5,7.1,6.333,5.0,6.634,Ágata,-2,0,7.0,7.2,,Ágata,2.4000000000000004,6.65,0,Criança (até 10),0
RA-706,Aluno-706,0,F,2012,10,Menina,2021,9.5,6.7,7.5,9.1,8.417,5.0,7.659,Ametista,-2,1,9.1,9.1,,Ametista,0.40000000000000036,7.9,0,Criança (até 10),1
RA-707,Aluno-707,0,F,2012,10,Menina,2020,10.0,8.1,6.9,8.5,8.083,5.0,7.679,Ametista,-2,0,8.8,8.2,,Ametista,1.5,8.3,0,Criança (até 10),2
RA-708,Aluno-708,0,F,2013,9,Menino,2022,8.0,8.4,7.5,7.3,7.583,5.0,7.282,Ametista,-1,0,7.1,7.6,,Ametista,0.7000000000000002,7.85,0,Criança (até 10),0
RA-709,Aluno-709,0,F,2012,10,Menina,2022,9.5,3.5,7.5,2.3,7.083,5.0,5.313,Quartzo,-2,0,2.3,2.3,,Quartzo,7.2,2.9,1,Criança (até 10),0
RA-710,Aluno-710,0,G,2012,10,Menino,2020,9.5,8.9,5.0,6.9,8.0,5.0,7.285,Ametista,-2,0,7.0,6.8,,Ametista,2.5999999999999996,7.9,0,Criança (até 10),2
RA-711,Aluno-711,0,G,2013,9,Menino,2022,9.0,7.9,6.3,3.5,6.0,5.0,6.04,Ágata,-1,0,4.0,3.0,,Ágata,5.5,5.7,1,Criança (até 10),0
RA-712,Aluno-712,0,G,2011,11,Menino,2019,8.0,5.1,5.0,8.0,5.833,5.0,6.026,Ágata,-2,0,8.7,7.3,,Ágata,0.0,6.55,0,Adolescente (11-14),3
RA-713,Aluno-713,0,G,2013,9,Menino,2021,10.0,8.7,7.5,7.8,7.25,5.0,7.42,Ametista,-1,0,8.0,7.7,,Ametista,2.2,8.25,0,Criança (até 10),1
RA-714,Aluno-714,0,G,2011,11,Menino,2019,9.0,6.9,5.6,8.0,7.25,5.0,6.953,Ágata,-2,0,8.5,7.5,,Ametista,1.0,7.45,0,Adolescente (11-14),3
RA-715,Aluno-715,0,G,2013,9,Menina,2022,8.5,8.7,4.4,4.9,7.917,5.0,6.656,Ágata,-1,0,4.8,5.0,,Ágata,3.5999999999999996,6.8,1,Criança (até 10),0
RA-716,Aluno-716,0,G,2013,9,Menino,2022,8.9,8.1,7.5,6.7,5.417,5.0,6.525,Ágata,-1,0,7.3,6.0,,Ágata,2.2,7.4,0,Criança (até 10),0
RA-717,Aluno-717,0,G,2012,10,Menina,2021,9.0,7.3,7.5,5.4,7.917,5.0,6.832,Ágata,-2,0,5.0,5.8,,Ágata,3.5999999999999996,6.35,0,Criança (até 10),1
RA-718,Aluno-718,0,G,2014,8,Menina,2022,8.0,8.9,6.3,9.2,7.417,10.0,8.093,Topázio,0,0,9.2,9.2,,Ametista,-1.1999999999999993,9.05,0,Criança (até 10),0
RA-719,Aluno-719,0,G,2012,10,Menina,2021,9.0,4.6,7.5,4.2,6.083,5.0,5.552,Quartzo,-2,0,5.0,3.3,,Ágata,4.8,4.4,1,Criança (até 10),1
RA-720,Aluno-720,0,G,2013,9,Menina,2021,8.0,5.9,7.5,7.6,7.083,5.0,6.731,Ágata,-1,0,7.3,7.8,,Ágata,0.40000000000000036,6.75,0,Criança (até 10),1
RA-721,Aluno-721,0,G,2014,8,Menina,2021,9.5,8.1,7.5,7.6,7.917,10.0,7.973,Ametista,0,0,8.2,7.0,,Ametista,1.9000000000000004,7.85,0,Criança (até 10),1
RA-722,Aluno-722,0,G,2013,9,Menina,2021,10.0,8.1,4.4,8.1,8.333,5.0,7.41,Ametista,-1,0,7.8,8.3,,Ametista,1.9000000000000004,8.1,0,Criança (até 10),1
RA-723,Aluno-723,0,H,2014,8,Menina,2022,10.0,6.6,8.1,5.5,8.167,10.0,7.426,Ametista,0,0,5.3,5.7,,Ametista,4.5,6.05,0,Criança (até 10),0
RA-724,Aluno-724,0,H,2014,8,Menina,2022,9.5,5.9,5.6,5.6,8.0,10.0,6.931,Ágata,0,0,2.9,8.3,,Ametista,3.9000000000000004,5.75,0,Criança (até 10),0
RA-725,Aluno-725,0,H,2014,8,Menino,2022,8.0,5.9,8.1,5.0,5.5,10.0,6.33,Ágata,0,0,4.0,6.0,,Ágata,3.0,5.45,0,Criança (até 10),0
RA-726,Aluno-726,0,H,2015,7,Menina,2022,10.0,7.5,7.5,4.4,6.583,10.0,6.985,Ágata,0,0,5.8,3.0,,Ametista,5.6,5.95,1,Criança (até 10),0
RA-727,Aluno-727,0,H,2014,8,Menino,2022,9.0,7.7,8.1,8.4,6.75,10.0,7.736,Ametista,0,0,9.3,7.4,,Ametista,0.5999999999999996,8.05,0,Criança (até 10),0
RA-728,Aluno-728,0,H,2014,8,Menina,2022,9.5,7.3,8.1,9.1,8.167,10.0,8.244,Topázio,0,0,9.3,8.9,,Topázio,0.40000000000000036,8.2,0,Criança (até 10),0
RA-729,Aluno-729,0,H,2014,8,Menina,2022,10.0,8.7,8.1,8.1,7.25,10.0,8.155,Topázio,0,0,8.5,7.8,,Ametista,1.9000000000000004,8.399999999999999,0,Criança (até 10),0
RA-730,Aluno-730,0,I,2012,10,Menina,2021,10.0,8.2,8.8,8.3,8.25,5.0,7.902,Ametista,-2,0,8.7,8.0,,Ametista,1.6999999999999993,8.25,0,Criança (até 10),1
RA-731,Aluno-731,0,I,2012,10,Menina,2019,9.0,8.5,6.9,7.3,7.083,5.0,7.151,Ametista,-2,0,7.3,7.2,,Ametista,1.7000000000000002,7.9,0,Criança (até 10),3
RA-732,Aluno-732,0,I,2013,9,Menino,2022,9.0,7.9,8.8,7.2,7.5,5.0,7.347,Ametista,-1,0,7.5,6.8,,Ametista,1.7999999999999998,7.550000000000001,0,Criança (até 10),0
RA-733,Aluno-733,0,J,2013,9,Menina,2022,9.5,8.5,5.6,5.1,6.917,5.0,6.684,Ágata,-1,0,6.0,4.2,,Ágata,4.4,6.8,0,Criança (até 10),0
RA-734,Aluno-734,0,J,2012,10,Menina,2022,9.5,7.2,5.6,7.3,7.417,5.0,6.952,Ágata,-2,0,8.0,6.5,,Ametista,2.2,7.25,0,Criança (até 10),0
RA-735,Aluno-735,0,J,2012,10,Menina,2021,9.0,9.0,5.6,7.3,8.583,5.0,7.485,Ametista,-2,1,7.8,6.7,,Ametista,1.7000000000000002,8.15,0,Criança (até 10),1
RA-736,Aluno-736,0,J,2012,10,Menino,2022,9.0,8.5,5.6,5.4,7.0,5.0,6.707,Ágata,-2,0,4.7,6.2,,Ágata,3.5999999999999996,6.95,0,Criança (até 10),0
RA-737,Aluno-737,0,J,2013,9,Menina,2022,9.5,9.2,5.6,9.0,9.167,5.0,8.058,Ametista,-1,1,8.5,9.5,,Ametista,0.5,9.1,0,Criança (até 10),0
RA-738,Aluno-738,0,J,2014,8,Menina,2022,8.5,8.1,5.6,5.7,7.5,10.0,7.227,Ametista,0,0,7.7,3.7,,Ametista,2.8,6.9,0,Criança (até 10),0
RA-739,Aluno-739,0,J,2014,8,Menino,2022,6.4,7.3,5.6,5.9,7.083,10.0,6.82,Ágata,0,0,6.0,5.8,,Ágata,0.5,6.6,0,Criança (até 10),0
RA-740,Aluno-740,0,J,2013,9,Menina,2022,8.5,9.0,5.6,7.2,7.5,5.0,7.218,Ametista,-1,0,7.3,7.0,,Ametista,1.2999999999999998,8.1,0,Criança (até 10),0
RA-741,Aluno-741,0,J,2012,10,Menina,2022,9.5,8.4,5.6,6.3,7.417,5.0,6.896,Ágata,-2,0,7.3,5.2,,Ametista,3.2,7.35,0,Criança (até 10),0
